0036450239;1;01
0036452686;0;01
0036452964;0;01
0036454472;0;01
0036423951;0;02
0036447413;0;02
0036447658;0;02
0036451652;0;02
0036450270;0;02
0036452441;1;02
0036452532;1;03
0036449444;0;03
1194020160;0;03
0036449813;0;03
0036452366;0;03
0036447892;0;03
0036448746;1;04
0036446281;0;04
0036450447;1;05
0036448340;0;05
0036451007;0;05
0036449764;0;05
0036457128;0;05
0036455560;0;05
0036453428;1;06
0036453267;0;06
0036453753;0;06
0036450195;0;06
0036453001;0;06
0036449951;1;07
0036452810;0;07
0036437691;0;07
0036449327;0;07
0036450174;0;07
0036448772;0;07
0036452483;1;08
0036454243;0;08
0036452506;0;08
0036451103;0;08
0036451988;0;08
0036449556;1;09
0036460013;0;09
0036450788;0;09
0036452179;0;09
0036440293;0;09
0036434198;0;09
0036453300;1;10
0036453288;0;10
0036450083;0;10
0036448697;0;10
0036452457;0;10
0036448447;0;10
0036450020;0;11
0036451283;0;11
0036454201;0;11
0036451790;0;11
0036454035;0;11
0036452212;1;11
0036450884;1;12
0036447780;0;12
0036452782;0;12
0036452798;0;12
0036449514;0;12
0036452067;0;12
0036450697;1;13
0036455027;0;13
0036458653;0;13
0036449374;0;13
0246019418;0;13
0036459687;0;13
0036451332;1;14
0036453412;0;14
0036458216;0;14
0246022847;0;14
0119004546;0;14
0036440802;1;15
0036454355;0;15
0036437296;0;15
0036451626;0;15
0036446624;0;15
0036458060;0;15
0036449348;1;16
0036451668;0;16
0036456339;0;16
0036457908;0;16
0036428206;0;16
0036452499;1;17
0036441451;0;17
0036451096;0;17
0036450111;0;17
0036449124;0;17
0036453699;0;17
0036454696;1;18
0036449988;0;18
0036446031;0;18
0036442170;0;18
0036461463;0;18
0036455513;0;18
0036448410;1;19
0036450148;0;19
0036450746;1;20
0036454397;0;20
0036452777;0;20
0036451402;0;20
0036454040;0;20
0036454719;0;20
0036453587;1;21
0036449582;0;21
0036450751;0;21
0036451278;0;21
0036454878;0;21
0036454948;0;21
0036448980;1;22
0036453566;0;22
0035147980;0;22
0036451514;0;22
0036454563;1;23
0036456440;0;23
0036451171;0;23
0036454238;0;23
0036452511;0;23
0036449610;0;23
0036453727;1;24
0036453496;0;24
0036451423;0;24
0036448377;0;24
0036442464;0;24
0036447301;0;24
0036449605;1;25
0036449439;0;25
0036442700;0;25
0036451829;0;25
0036448382;1;26
0036448356;0;26
0036450398;0;26
0036449119;0;26
0036449007;0;26
0036442240;0;27
0036448928;1;27
0036449743;0;27
0036449759;0;27
0036456963;0;27
0036452548;1;28
0036454633;0;28
0036462135;0;28
0036450772;1;29
0036449876;0;29
0036454836;0;29
0036452852;0;29
0036453706;0;30
0036450501;0;30
0036451689;0;30
0036454911;0;30
0036453181;0;30
0036454654;1;30
0036449171;0;31
0036449353;0;31
0036449187;0;31
0036454899;0;31
0036454061;0;31
0036450767;1;31
0036451262;1;32
0036460562;0;32
0036436689;0;32
0036453043;0;32
0036453090;0;32
0036443804;0;32
0036450837;1;33
0036452901;0;33
0036453998;0;33
0036449096;0;33
0036449561;0;33
0036448564;0;33
0036450879;1;34
0036451951;0;34
0036450863;0;34
0036450078;0;34
0036457315;0;34
0036449241;1;35
0036449652;0;35
0036449668;0;35
0036455261;0;35
0036449215;1;36
0036450335;0;36
0036449785;0;36
0036450473;0;36
